time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/reward,train/value_loss,train/approx_kl,train/entropy_loss,train/loss,train/learning_rate,train/clip_range,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/std,train/explained_variance
14,28672,200,143,-170.3557,13931.800299072265,2.6620865,-576.4963874816895,6448.50048828125,0.01,0.2,130,0.8224609375,0.16677341758331748,55.62680435180664,-1.1920928955078125e-07
15,30720,216,141,28.063498,11227.678952026366,7.026367,-586.243037033081,7324.3056640625,0.01,0.2,140,0.80009765625,0.13482629747886676,62.17546844482422,5.960464477539063e-08
16,32768,232,140,-330.83484,13198.107083129882,3.1644354,-595.7390125274658,5993.6923828125,0.01,0.2,150,0.881201171875,0.20405550643918105,68.3531265258789,0.0
17,34816,249,139,-270.32343,17363.334170532227,1.2926409,-604.3622566223145,6008.01513671875,0.01,0.2,160,0.847900390625,0.13084075694787317,72.13875579833984,0.0
18,36864,265,138,4.828105,13000.63558959961,0.45690966,-609.4474212646485,8277.6591796875,0.01,0.2,170,0.840869140625,0.10919959107413887,74.48975372314453,-1.1920928955078125e-07
19,38912,280,138,-76.005615,15110.310305786134,3.127099,-614.9517417907715,10942.357421875,0.01,0.2,180,0.85771484375,0.16388120704214088,81.9501724243164,-1.1920928955078125e-07
20,40960,295,138,-107.000114,13543.1779296875,4.323522,-624.4693031311035,6701.5556640625,0.01,0.2,190,0.887841796875,0.20244231333344942,91.1368637084961,0.0
21,43008,311,138,46.405552,22794.498083496095,1.2038128,-630.0736660003662,9807.61328125,0.01,0.2,200,0.7392578125,0.09569265402969904,94.15148162841797,1.7881393432617188e-07
22,45056,326,138,350.24658,28125.529364013673,1.8237927,-633.858773803711,8467.2626953125,0.01,0.2,210,0.74794921875,0.10007631647458766,99.98902130126953,1.1920928955078125e-07
23,47104,340,138,-51.496918,20019.218811035156,1.2417241,-640.7581268310547,9581.6201171875,0.01,0.2,220,0.819482421875,0.11524859895580448,104.39227294921875,2.2649765014648438e-06
24,49152,356,137,-303.74475,14457.88982849121,1.1749458,-645.6137119293213,10837.6630859375,0.01,0.2,230,0.847216796875,0.1398196189722512,108.36058807373047,1.5676021575927734e-05
25,51200,373,137,-158.17589,27995.466662597657,0.34398735,-649.0833385467529,9766.9580078125,0.01,0.2,240,0.6603515625,0.05089169722341467,110.9289321899414,4.470348358154297e-06
26,53248,390,136,204.06218,29887.723400878906,0.11591938,-650.9132026672363,20542.65625,0.01,0.2,250,0.58662109375,0.015037551417481154,112.51195526123047,2.7418136596679688e-06
27,55296,409,135,27.510624,20054.660241699217,1.018608,-653.132815170288,11026.22265625,0.01,0.2,260,0.75087890625,0.08102061910612975,115.88058471679688,-1.9073486328125e-06
28,57344,424,134,43.694614,27308.020697021486,0.46821874,-655.7639213562012,15979.296875,0.01,0.2,270,0.601318359375,0.030373009521281347,118.4333724975586,-1.5497207641601562e-06
29,59392,441,134,-23.36021,22086.13920288086,0.5434495,-658.8548885345459,9529.00390625,0.01,0.2,280,0.75361328125,0.07280768700293265,120.32626342773438,-4.649162292480469e-06
30,61440,456,134,-62.952892,22139.345483398436,0.8133656,-661.3166637420654,17909.173828125,0.01,0.2,290,0.872412109375,0.1349880776950158,125.3143081665039,-1.9073486328125e-06
31,63488,471,134,148.63188,21219.448309326173,0.18513578,-664.3019947052002,8881.9521484375,0.01,0.2,300,0.66142578125,0.013846723909955472,127.60420989990234,7.450580596923828e-06
32,65536,489,133,23.608747,20157.819470214843,0.3039516,-666.0614528656006,6617.38134765625,0.01,0.2,310,0.563134765625,0.012744372905581258,129.5653533935547,1.4841556549072266e-05
33,67584,503,134,166.90767,20039.954656982423,3.6665049,-669.0381816864013,7042.53125,0.01,0.2,320,0.621533203125,0.06581719490350224,135.21250915527344,-4.76837158203125e-06
34,69632,517,134,95.711006,18402.49609375,1.5392312,-675.0691555023193,15029.876953125,0.01,0.2,330,0.898486328125,0.1440846131707076,143.4248046875,1.722574234008789e-05
35,71680,531,134,40.36782,25814.986328125,1.6128919,-680.2261428833008,7425.98681640625,0.01,0.2,340,0.76494140625,0.1047828991751885,151.8565216064453,1.8477439880371094e-05
