train/learning_rate,train/n_updates,time/time_elapsed,train/value_loss,train/policy_loss,time/iterations,train/explained_variance,train/reward,time/total_timesteps,time/fps,train/entropy_loss,train/std
0.0007,3299,247,56.06056594848633,-1042.2122802734375,3300,-0.04257857799530029,-2.3313732,16500,66,-161.15049743652344,1.0079736709594727
0.0007,3399,253,53.83089065551758,-439.9207458496094,3400,-0.1839754581451416,34.79168,17000,67,-161.162353515625,1.0081353187561035
0.0007,3499,268,425.976318359375,-1530.5850830078125,3500,0.010425806045532227,26.643526,17500,65,-161.21292114257812,1.0086252689361572
0.0007,3599,285,710.0267944335938,3350.574951171875,3600,-0.041857242584228516,22.412981,18000,62,-161.2259521484375,1.0087578296661377
0.0007,3699,306,2963.71142578125,8223.2138671875,3700,0.05299222469329834,53.59883,18500,60,-161.396484375,1.0101995468139648
0.0007,3799,323,278.87640380859375,-1025.3642578125,3800,-0.02142345905303955,7.8867655,19000,58,-161.30279541015625,1.0096009969711304
0.0007,3899,341,227.29910278320312,-1805.6822509765625,3900,0.017312586307525635,27.290318,19500,57,-161.30210876464844,1.009572148323059
0.0007,3999,346,1018.0164794921875,-2310.013427734375,4000,0.0,-31.97694,20000,57,-161.2979736328125,1.0096012353897095
0.0007,4099,351,1010.4522705078125,-4369.2998046875,4100,0.016214847564697266,7.6702285,20500,58,-161.18685913085938,1.008573055267334
0.0007,4199,355,4548.7294921875,10347.0966796875,4200,8.887052536010742e-05,-41.298557,21000,59,-161.35421752929688,1.0100537538528442
0.0007,4299,359,279.65216064453125,1992.5855712890625,4300,-0.010362863540649414,32.170696,21500,59,-161.38768005371094,1.0103635787963867
0.0007,4399,363,878.1732177734375,3684.286376953125,4400,0.0038120150566101074,-103.54687,22000,60,-161.47235107421875,1.011125922203064
0.0007,4499,367,2975.22021484375,8365.244140625,4500,2.384185791015625e-07,12.869818,22500,61,-161.44815063476562,1.010790228843689
0.0007,4599,373,191.76663208007812,-622.2131958007812,4600,0.0,-7.1540327,23000,61,-161.58700561523438,1.0119597911834717
0.0007,4699,380,1138.59033203125,-1748.720703125,4700,0.0,-99.82974,23500,61,-161.48892211914062,1.0111448764801025
0.0007,4799,386,1841.416015625,-6512.8876953125,4800,-1.1920928955078125e-07,53.513813,24000,62,-161.470458984375,1.0111020803451538
0.0007,4899,391,23269.21875,9797.16015625,4900,0.0,62.780346,24500,62,-161.5244598388672,1.0117243528366089
0.0007,4999,395,679.3599243164062,1550.491455078125,5000,-3.5762786865234375e-07,-21.5116,25000,63,-161.43710327148438,1.0109350681304932
0.0007,5099,399,7406.50927734375,-11726.6904296875,5100,0.0,3.377562,25500,63,-161.41490173339844,1.0106492042541504
0.0007,5199,403,1445.4322509765625,2865.232421875,5200,-1.1920928955078125e-07,-60.954445,26000,64,-161.41761779785156,1.0108592510223389
0.0007,5299,409,3293.271484375,4556.2197265625,5300,1.1920928955078125e-07,-78.029884,26500,64,-161.50656127929688,1.0117225646972656
0.0007,5399,413,3823.64892578125,-9188.275390625,5400,0.0,-3.1402347,27000,65,-161.6590576171875,1.012940526008606
0.0007,5499,426,9179.197265625,-15060.3095703125,5500,0.003998100757598877,-58.434967,27500,64,-161.513671875,1.0116982460021973
0.0007,5599,439,1553.437255859375,1511.482666015625,5600,-0.01651895046234131,38.559803,28000,63,-161.44613647460938,1.0111383199691772
0.0007,5699,447,8438.9111328125,12830.5029296875,5700,0.021771907806396484,-76.732834,28500,63,-161.56529235839844,1.0122064352035522
0.0007,5799,453,1781.3023681640625,2439.47900390625,5800,-0.01669168472290039,-6.148374,29000,63,-161.62472534179688,1.0128898620605469
0.0007,5899,459,1401.988525390625,-3001.74462890625,5900,0.0,14.90646,29500,64,-161.74288940429688,1.01402747631073
0.0007,5999,465,7336.2041015625,-13333.4873046875,6000,-1.1920928955078125e-07,14.988492,30000,64,-161.62362670898438,1.0129332542419434
